PALLAVI,2026_FISH_69946_1,Supply of Major Carp Seed 7 cm and above in Udaipur Sub Division,Goods,Directorate of Fisharies||Udaipur Sub Division,,"48,000",,"24,00,000",TRIPURA,Different GP/VCs of Udaipur Sub division,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 12:00:00
PALLAVI,2026_CEPWD_70044_1,Strengthening of road from Krishnatali (NH-08) to Harijoy via Brajanagar and Brajanagar PWD road (Bankumari) to Gopal Chowmuhani via Uttar Majlishpur G.P Office under Jirania R.D Block. (L 5.575 KM).,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Jirania Division",,"16,52,795",,"8,26,39,726",TRIPURA,Jirania,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_70062_1,Improvement of road from Kanchanpur - Jalabassa road to Laljuri - Machmara road via Joysree VC under Laljuri R.D. Block. (under RIDF-XXXI of NABARD during the year 2025-26),Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), First Circle||EE PWD (R and B) Kanchanpur Division",,"13,06,752",,"6,53,37,591",TRIPURA,Kanchanpur,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEDWS_70323_1,"Construction of 01 No. SBDTW 150 mm by contractors own Mini Rig of submersible pump motor, pipe line at Shyam Para BOP under 121 BN BSF within the DWS Division, Sabroom during 2025-26 (Deposit Work).",Works,"Chief Engineer, PWD (DWS)||SE, DWS, Udaipur, PWD (DWS)||EE, DWS Divn, Sabroom, PWD(DWS)",,"19,478",,"9,73,891",TRIPURA,Sabroom,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEDWS_70325_1,"Maintenance and repairing of existing R.C.C Over-Head Tank at Nabin Para under DWS Sub-Division, Sabroom during the year 2025-26.",Works,"Chief Engineer, PWD (DWS)||SE, DWS, Udaipur, PWD (DWS)||EE, DWS Divn, Sabroom, PWD(DWS)",,"48,505",,"24,25,253",TRIPURA,Sabroom,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_70063_1,"Improvement of road from Choreibung to Kanajuri, Handurai para to Khagendra Para n Padmaluchan (TD road to Handurai Para PMGSY road junction to Padmalochan Para) under Damcherra Block. (Under RIDF-XXXI of NABARD)",Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), First Circle||EE PWD (R and B) Kanchanpur Division",,"12,17,197",,"6,08,59,826",TRIPURA,Damcherra,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_69969_1,1 Repairing and Maintenance of 02 Two Nos 80 TR Capacity Screw Chiller Air Conditioning System at Sonamura New Town Hall,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mechanical Division",,"16,401",,"8,20,050",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CERDD_70041_1,"Construction of G3 Office Building at Teliamura, Teliamura Electrical Division, Teliamura Electrical Sub-Division-I, and Teliamura Electrical Sub Division-II Office under RD Teliamura Division during the F.Y. 2025-26 as per (PWD SoR-2023).",Works,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",,"9,75,212",,"4,87,60,619",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CERDD_70365_1,"Construction of 50 seated Girls hostel for Nabajoy R.P. JB School, Mungiakami RD Block under RD Teliamura Division, Khowai District during the F.Y.2025-26 as per PWD SOR 2023.",Works,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",,"3,89,366",,"1,94,68,278",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CERDD_70368_1,"Construction of Blacktop road from T.K.Road to Maizbhader SPO Camp of Uttar Kamalnagar GP under Kalyanpur RD Block, Teliamura Division , Khowai District (as per PWD SoR 2023).",Works,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",,"1,70,799",,"85,39,929",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70273_1,Repairing of 08 Eight nos Dysfunctional Girls Toilet under Panisagar RD Block of North Tripura District for the year 2025-26.,Works,Director - Directorate of Secondary Education,,"24,000",,"11,99,998",TRIPURA,"Panisagar, North Tripura",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_SAMC_70358_1,Procurement of Consumables and Furniture for the CHC under AMC,Goods,Mayor- Agartala Municipal Corporation||Superintendent Engineer- Agartala Municipal Corporation,,"2,00,000",,"1,00,00,000",TRIPURA,Agartala Municipal Corporation,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70262_1,Repairing of 05 nos Dysfunctional toilet under Bokafa and Hrishyamukh Block of South Tripura for the year 2025-26.,Works,Director - Directorate of Secondary Education,,"15,000",,"7,50,000",TRIPURA,Bokafa Hrishyamukh South,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_OSDDS_70387_1,Repair of 10 (Ten) nos. Dysfunctional Girls Toilet in Schools under Karbook Block of Gomati District under Samagra Shiksha during the year 2025-26/3rd Call,Works,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,,"30,000",,"15,00,000",TRIPURA,"Karbook Block,Gomati District",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70286_1,Construction of Brick soling road with RCC drain from Baxonagar road to Sumit Das house under Bishalgarh Municipal Council WNo 9,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"20,650",,"10,32,518",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70272_1,"Repairing of Dysfunctional Toilet at Dopatacherra S B School, Bursinghpara JB School, Keori SB School under Laljuri Block, Kanchanpur, North Tripura for the year 2025-26",Works,Director - Directorate of Secondary Education,,"9,000",,"4,50,000",TRIPURA,Laljuri North Tripura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_OSDDS_70389_1,Repair of 7 (Seven) nos. Dysfunctional Girls Toilet in Schools under Karbook Block of Gomati District under Samagra Shiksha during the year 2025-26/3rd Call,Works,Director - Directorate of Secondary Education||Dy Director - Directorate of Secondary Education||Stipend Sec - Directorate of Secondary Education||OSD - Directorate of Secondary Education,,"21,000",,"10,50,000",TRIPURA,"Kakraban,Gomati District",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_70047_1,Strengthening of road from Mohanpur Market (NH-8) to T.E. College via Horijoy Chowdhury Para (L 4.20 km) under Jirania RD Block.,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Jirania Division",,"8,81,082",,"4,40,54,081",TRIPURA,Jirania,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CERDD_70046_1,"Construction of 2-Bay (4-Vehicles Provision) Fire Station Building at Teliamura under RD Teliamura Division, Khowai District, Tripura during the F.Y.2025-26 as per PWD SOR 2023",Works,"Chief Engineer, Rural Development Department||Superintending Engineer Circle-1, CE, RDD||Executive Engineer Western Division-3",,"5,11,118",,"2,55,55,884",TRIPURA,As per DNIT,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70284_1,Construction of RCC drain from Goutam Bhowmik house to Kamthana road under Bishalgarh Municipal Council W/No- 8,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"7,242",,"3,62,081",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70290_1,"Bamboo Palasiding, earth filling and Brick Soling from Late Biman Chandra Saha house to Kumari Ashram road under Bishalgarh Municipal Council WNo 10",Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"11,547",,"5,77,342",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70296_1,Construction of RCC drain from Madan Mohan Ashram to Bijoy River via Sukhlal Banik Shop under Bishalgarh Municipal Council WNo 10 CH 0.00 M to 68.00 M,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"6,096",,"3,04,798",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70280_1,2nd call for Construction of moduler lab for physics deparment in Kabi Nazrul Mahavidyalaya during the year 2025-26 .,Works,Director - Directorate of Secondary Education,,"15,986",,"7,99,315",TRIPURA,"Sonamura, Sepahijala.",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_FISH_70055_1,"Construction of Training Centre at Collegetilla / SH. Tripura Prawn Breeding Research and Demonstration Centre at Collegetilla, Agartala, West Tripura",Works,Directorate of Fisharies,,"2,91,262",,"1,45,63,101",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70297_1,Repairing of 07 Seven nos Dysfunctional Boys Toilet under Kadamtala and Jubarajnagar RD Block of North Tripura District for the year 2025-26.,Works,Director - Directorate of Secondary Education,,"20,998",,"10,49,909",TRIPURA,"Kadamtala, Jubarajnagar, North",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
